hall,date,label,report_url,machine,unit,grape_denom,grade,games,diff,bb,rb,payout_rate,collected_at
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ウルトラミラクルジャグラー,121,5.9427,設定1未満目安,667,-343,1,2,82.9,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ウルトラミラクルジャグラー,122,6.2975,設定1未満目安,2372,-296,9,5,95.8,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ウルトラミラクルジャグラー,123,6.2706,設定1未満目安,693,10,2,4,100.5,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ウルトラミラクルジャグラー,144,5.6559,設定6以上目安,790,-192,2,2,91.9,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ウルトラミラクルジャグラー,145,6.7469,設定1未満目安,701,-495,1,2,76.5,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ウルトラミラクルジャグラー,146,8.6594,設定1未満目安,178,-186,0,1,65.2,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,153,5.8041,設定6以上目安,2212,-384,4,12,94.2,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,154,6.1257,設定3近辺,269,-323,0,0,60.0,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,155,6.1732,設定3近辺,5095,1223,24,17,108.0,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,156,6.9016,設定1未満目安,328,-202,1,0,79.5,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,157,6.9437,設定1未満目安,3889,876,20,14,107.5,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,158,6.3867,設定1未満目安,1523,-566,4,4,87.6,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,159,6.6652,設定1未満目安,124,-162,0,0,56.5,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,160,6.3076,設定1未満目安,3901,449,18,10,103.8,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,161,6.3675,設定1未満目安,3791,156,14,16,101.4,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,162,6.2968,設定1未満目安,2159,307,10,6,104.7,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,163,6.9552,設定1未満目安,1669,-200,5,9,96.0,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,164,5.7674,設定6以上目安,1764,-487,5,3,90.8,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,165,6.1674,設定3近辺,1441,33,7,1,100.8,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,166,5.9352,設定6近辺,1763,-75,7,3,98.6,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,167,6.4026,設定1未満目安,381,-239,1,0,79.1,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,168,6.3746,設定1未満目安,5907,2926,35,20,116.5,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,169,6.7018,設定1未満目安,246,-227,0,1,69.2,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,170,6.6035,設定1未満目安,105,-136,0,0,56.8,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ゴーゴージャグラー３,171,6.5287,設定1未満目安,4496,287,20,13,102.1,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ジャグラーガールズSS,147,6.6088,設定1未満目安,5901,-1374,15,26,92.2,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ジャグラーガールズSS,148,7.0258,設定1未満目安,554,-158,2,1,90.5,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ジャグラーガールズSS,172,7.6119,設定1未満目安,930,-154,4,2,94.5,2026-05-21 13:43:41+0900
アウトバーンブリッツ,2025-11-22,2025/11/22(土),https://min-repo.com/2749807/,ネオアイムジャグラーEX,124,6.2311,設定1未満目安,2274,-294,8,5,95.7,2026-05-21 13:43:41+0900
