hall,date,label,report_url,machine,unit,games,diff,bb,rb,payout_rate,low_activity,hit,collected_at
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,124,1849,-568,,,89.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,125,666,-286,,,85.7,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,126,6339,2365,,,112.4,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,127,2182,-19,,,99.7,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,128,547,169,,,110.3,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,129,3326,1082,,,110.8,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,130,3561,1391,,,113.0,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,131,344,69,,,106.7,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,132,2576,-454,,,94.1,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,133,3928,2173,,,118.4,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,134,5212,668,,,104.3,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,135,2346,-474,,,93.3,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,136,754,-418,,,81.5,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,137,4778,-518,,,96.4,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,138,1549,-794,,,82.9,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,139,1724,-299,,,94.2,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,140,935,-479,,,82.9,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,141,2719,-341,,,95.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,142,2448,-895,,,87.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,SアイムジャグラーＥＸ,143,515,-591,,,61.7,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ウルトラミラクルジャグラー,117,4085,-545,,,95.6,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ウルトラミラクルジャグラー,118,557,-218,,,87.0,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ウルトラミラクルジャグラー,119,957,41,,,101.4,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ウルトラミラクルジャグラー,148,236,-280,,,60.5,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ウルトラミラクルジャグラー,149,297,-358,,,59.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ウルトラミラクルジャグラー,150,426,-214,,,83.3,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,153,2264,1765,,,126.0,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,154,2628,-353,,,95.5,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,155,1293,118,,,103.0,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,156,1648,-1103,,,77.7,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,157,3787,-444,,,96.1,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,158,835,-543,,,78.3,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,159,1602,110,,,102.3,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,160,6971,374,,,101.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,161,479,102,,,107.1,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,162,494,-22,,,98.5,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,163,1835,353,,,106.4,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,164,532,-223,,,86.0,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,165,2669,221,,,102.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,166,1376,-738,,,82.1,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,167,1599,-1210,,,74.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,168,2597,323,,,104.1,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,169,2432,-529,,,92.7,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,170,2947,312,,,103.5,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ゴーゴージャグラー３,171,2962,917,,,110.3,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ジャグラーガールズSS,151,4845,585,,,104.0,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ジャグラーガールズSS,152,1247,-133,,,96.4,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ジャグラーガールズSS,172,4375,1152,,,108.8,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ジャグラーガールズSS,173,188,-209,,,62.9,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ジャグラーガールズSS,174,1081,-431,,,86.7,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ジャグラーガールズSS,175,867,-339,,,87.0,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,82,769,-190,,,91.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,83,995,-303,,,89.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,84,1270,-679,,,82.2,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,85,288,-317,,,63.3,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,86,706,361,,,117.0,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,87,5436,402,,,102.5,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,88,646,-389,,,79.9,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,89,206,-255,,,58.7,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,90,4635,187,,,101.3,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,91,1264,444,,,111.7,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,92,3205,-1449,,,84.9,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,93,807,-183,,,92.4,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,94,1065,-333,,,89.6,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ハッピージャグラーＶＩＩＩ,95,5645,453,,,102.7,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,77,3715,794,,,107.1,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,78,280,-399,,,52.5,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,79,1494,-229,,,94.9,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,80,2450,839,,,111.4,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,81,281,-420,,,50.2,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,96,1170,-329,,,90.6,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,97,1746,-684,,,86.9,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,98,433,-418,,,67.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,99,2002,486,,,108.1,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,100,2684,-1342,,,83.3,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,101,201,-292,,,51.6,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,102,609,-221,,,87.9,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,103,2043,119,,,101.9,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,104,202,-228,,,62.4,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,105,1974,-210,,,96.5,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,106,956,-570,,,80.1,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,107,726,-462,,,78.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,108,2288,-261,,,96.2,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,109,81,-105,,,56.8,1,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,110,5182,532,,,103.4,0,1,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,111,313,-190,,,79.8,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,112,1560,-349,,,92.5,0,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,113,83,-138,,,44.6,1,0,2026-08-07 13:16:25+0900
アウトバーンブリッツ,2025-08-07,2025/8/7(木),https://min-repo.com/2532583/,ファンキージャグラー２ＫＴ,114,4636,908,,,106.5,0,1,2026-08-07 13:16:25+0900
